,tytul,data,link
27,A characterization of half-positionality for omega-regular languages,2023-12-06 14:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/characterization-half-positionality-omega-regular-languages
28,Impact of maturation delays on the eco-evolutionary dynamics of Hawk-Dove game,2023-12-06 14:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/impact-maturation-delays-eco-evolutionary-dynamics-hawk-dove-game
29,Granice w algebrze homotopijnej i ∞-kategoriach,2023-12-06 10:30,https://www.mimuw.edu.pl/aktualnosci/seminaria/granice-w-algebrze-homotopijnej-i-kategoriach
30,Unveiling Microbial Dark Matter: leveraging computational approaches for understanding the unseen world,2023-12-06 10:15,https://www.mimuw.edu.pl/aktualnosci/seminaria/unveiling-microbial-dark-matter-leveraging-computational-approaches
31,Błażej Osiński,2023-12-07 14:00,https://www.mimuw.edu.pl/doktoraty/blazej-osinski
32,Barbara Poszewiecka,2023-12-13 14:15,https://www.mimuw.edu.pl/doktoraty/barbara-poszewiecka
33,Sebastian Stawicki,2024-01-11 14:00,https://www.mimuw.edu.pl/doktoraty/sebastian-stawicki
34,Maciej Gałązka,2023-12-15 16:00,https://www.mimuw.edu.pl/doktoraty/maciej-galazka
35,Rafał Stefański,2023-12-15 14:15,https://www.mimuw.edu.pl/doktoraty/rafal-stefanski
36,Mateusz Dębowski,2024-01-11 16:00,https://www.mimuw.edu.pl/doktoraty/mateusz-debowski
